origin_city,destination_city,date,price,stops,duration_minutes,airline,booking_link
TPE,NYC,2026-01-14,1950,0,,,
TPE,NYC,2026-01-15,1490,0,,,
TPE,NYC,2026-01-16,1780,0,,,
TPE,NYC,2026-01-17,1520,0,,,
TPE,NYC,2026-01-18,1520,0,,,
TPE,NYC,2026-01-19,1950,0,,,
TPE,NYC,2026-01-20,1490,0,,,
TPE,NYC,2026-01-21,1490,0,,,
TPE,NYC,2026-01-22,1490,0,,,
TPE,NYC,2026-01-23,1520,0,,,
TPE,NYC,2026-01-24,1520,0,,,
TPE,NYC,2026-01-25,1520,0,,,
TPE,NYC,2026-01-26,1490,0,,,
TPE,NYC,2026-01-27,1490,0,,,
TPE,NYC,2026-01-28,1490,0,,,
TPE,NYC,2026-01-29,1490,0,,,
TPE,NYC,2026-01-30,1520,0,,,
TPE,NYC,2026-01-31,1520,0,,,


HKG,NYC,2026-01-01,2380,0,,,
HKG,NYC,2026-01-02,2630,0,,,
HKG,NYC,2026-01-03,3750,0,,,
HKG,NYC,2026-01-04,3750,0,,,
HKG,NYC,2026-01-05,2630,0,,,
HKG,NYC,2026-01-06,2630,0,,,
HKG,NYC,2026-01-07,2380,0,,,
HKG,NYC,2026-01-08,2380,0,,,
HKG,NYC,2026-01-09,2420,0,,,
HKG,NYC,2026-01-10,2630,0,,,
HKG,NYC,2026-01-11,2630,0,,,
HKG,NYC,2026-01-12,2630,0,,,
HKG,NYC,2026-01-13,2380,0,,,
HKG,NYC,2026-01-14,2630,0,,,
HKG,NYC,2026-01-15,2380,0,,,
HKG,NYC,2026-01-16,2420,0,,,
HKG,NYC,2026-01-17,2420,0,,,
HKG,NYC,2026-01-18,2420,0,,,
HKG,NYC,2026-01-19,2380,0,,,
HKG,NYC,2026-01-20,2380,0,,,
HKG,NYC,2026-01-21,2380,0,,,
HKG,NYC,2026-01-22,2380,0,,,
HKG,NYC,2026-01-23,2420,0,,,
HKG,NYC,2026-01-24,2420,0,,,
HKG,NYC,2026-01-25,2420,0,,,
HKG,NYC,2026-01-26,2380,0,,,
HKG,NYC,2026-01-27,2380,0,,,
HKG,NYC,2026-01-28,2380,0,,,
HKG,NYC,2026-01-29,2380,0,,,
HKG,NYC,2026-01-30,2420,0,,,
HKG,NYC,2026-01-31,2420,0,,,

TYO,HKG,2025-12-10,81,0,,,
TYO,HKG,2025-12-12,83,0,,,
TYO,HKG,2025-12-20,81,0,,,
TYO,HKG,2025-12-27,338,0,,,
TYO,HKG,2026-01-21,81,0,,,
TYO,HKG,2026-01-25,85,0,,,

HKG,TYO,2025-12-01,75,0,,,
HKG,TYO,2025-12-12,103,0,,,
HKG,TYO,2025-12-27,154,0,,,
HKG,TYO,2026-01-21,75,0,,,

HKG,TPE,2025-12-01,64,0,,,
HKG,TPE,2025-12-10,64,0,,,
HKG,TPE,2025-12-20,103,0,,,
HKG,TPE,2025-12-28,95,0,,,
HKG,TPE,2026-01-21,67,0,,,

TPE,HKG,2025-12-04,48,0,,,
TPE,HKG,2025-12-16,48,0,,,
TPE,HKG,2025-12-19,48,0,,,
TPE,HKG,2025-12-25,53,0,,,
